date,open,high,low,close,volume,marcap
2023-05-30,850.0,851.53,844.48,851.5,1226447934,408184728304838
2023-05-31,851.37,860.3,850.88,856.94,1074919531,410762791557526
2023-06-01,855.95,863.86,855.46,863.78,982023283,414191912523594
2023-06-02,866.16,868.17,864.97,868.06,1112160220,416464845548968
2023-06-05,871.05,872.95,865.13,870.28,1049549658,417523271282702
2023-06-07,872.1,880.81,872.1,880.72,1093663073,422517053595658
2023-06-08,878.86,879.44,871.5,876.13,1123246616,421092952327398
2023-06-09,882.11,886.52,880.76,883.71,1068151786,424756543749504
2023-06-12,887.2,887.2,881.76,885.76,1008594343,425893644281940
2023-06-13,890.81,898.28,889.58,896.81,1117251805,431291955086062
2023-06-14,899.35,899.85,870.48,871.83,1336224834,419369212191680
2023-06-15,877.62,884.55,865.48,878.04,1122318243,422504860760674
2023-06-16,882.45,888.27,878.99,887.95,949462148,427288976709558
2023-06-19,888.52,889.49,881.14,888.61,1153900000,427630918821185
2023-06-20,886.47,891.0,883.09,886.41,1301283713,425695312580482
2023-06-21,887.26,890.94,875.33,875.7,1216521534,420589876465360
2023-06-22,870.79,880.12,869.79,876.38,1339789200,420999395898834
2023-06-23,880.37,880.46,872.28,874.84,1287180970,420135043459337
2023-06-26,874.31,881.24,869.29,879.5,1293505724,422225553318677
2023-06-27,877.88,878.43,867.68,874.14,1220801453,419653192029387
2023-06-28,879.61,880.23,866.7,866.97,1164022550,416385717099030
2023-06-29,868.65,870.75,859.77,861.79,1173907181,414020562323732
2023-06-30,862.7,869.24,853.68,868.24,1000068755,417824127926909
2023-07-03,873.91,889.29,873.66,889.29,884082214,427893116022242
2023-07-04,890.94,894.7,883.41,890.0,972953790,428161725511757
2023-07-05,890.49,895.63,889.23,891.18,918615508,428780437481783
2023-07-06,889.3,889.77,869.46,870.53,1134506228,419190995639896
2023-07-07,868.08,872.29,861.2,867.27,1035427219,417718584854565
2023-07-10,868.0,870.18,857.35,860.35,1014982128,414366972436263
2023-07-11,866.55,878.76,865.65,878.73,935391511,423229062701988
2023-07-12,878.97,880.53,873.91,879.88,1043118519,423618918101672
2023-07-13,885.21,895.23,884.33,893.07,1122333065,430068141680691
2023-07-14,898.17,899.68,890.21,896.28,1056686324,432702966197944
2023-07-17,894.75,899.44,891.18,898.29,1119416578,433666352790006
2023-07-18,901.43,914.18,901.12,914.14,1139854017,441367892486646
2023-07-19,917.51,923.9,910.25,923.72,1016893563,446179346656537
2023-07-20,918.27,931.79,913.98,931.6,978780675,450317137849340
2023-07-21,918.51,937.29,918.19,934.58,992316458,451830150446042
2023-07-24,934.99,935.55,920.89,929.9,966471740,449613086398779
2023-07-25,932.17,945.47,924.31,939.96,932865875,454570559190489
2023-07-26,945.57,956.4,886.14,900.63,1236849184,435360980324054
2023-07-27,897.44,912.57,878.8,883.79,892726452,427799727761563
2023-07-28,880.23,914.6,877.96,913.74,677661358,442183475626650
2023-07-31,923.01,938.43,921.39,935.97,691575579,453032138636820
2023-08-01,944.71,952.12,926.75,939.67,924066636,454817075945774
2023-08-02,931.17,940.06,907.87,909.76,951132825,440343830637426
2023-08-03,911.28,920.41,897.89,920.32,1149308726,445604063527432
2023-08-04,921.16,922.89,914.3,918.43,1059449436,445124361055303
2023-08-07,913.25,913.25,894.48,898.22,1097671474,436603247933806
2023-08-08,901.76,903.78,889.25,892.34,1152204796,433028307783190
2023-08-09,891.08,912.94,889.94,908.98,1008549151,441076164676548
2023-08-10,904.68,912.65,899.01,911.29,1260880165,442526218430911
2023-08-11,913.97,918.18,908.27,912.2,1393876361,443015508574880
2023-08-14,907.43,908.13,894.08,901.68,1181117277,434975779332580
2023-08-16,893.93,895.42,877.85,878.29,1218844755,423722659451219
2023-08-17,875.15,887.67,863.32,886.04,1108792128,427494238868875
2023-08-18,878.52,882.08,874.27,877.32,1122467744,423332043652265
2023-08-21,881.09,894.58,879.8,888.71,1057472367,429635002358685
2023-08-22,898.4,899.21,889.71,893.33,1230524856,432030558011584
2023-08-23,892.65,892.65,881.4,882.87,1436368175,427031001522470
2023-08-24,893.46,902.64,892.12,901.74,1277063374,436356997642281
2023-08-25,891.21,902.81,890.08,899.38,1163466806,435370241626392
2023-08-28,907.53,909.48,901.84,909.38,1072274426,440166085727053
2023-08-29,911.94,918.39,907.82,916.24,1312285387,443514841224954
2023-08-30,925.08,926.44,921.05,923.81,1275514494,447220311649114
2023-08-31,925.57,930.42,923.4,928.4,1277534743,449317149907098
2023-09-01,926.37,928.0,919.74,919.74,1071432398,445146060262928
2023-09-04,918.12,921.63,913.04,919.16,1113978179,444921502645236
2023-09-05,918.85,922.65,913.02,921.48,1084503924,446045836292084
2023-09-06,923.61,927.28,916.08,917.95,1091540956,444379723550669
2023-09-07,914.63,921.79,902.95,906.36,1282928651,438903708396168
2023-09-08,908.08,914.18,902.77,914.18,1252895043,442804786933213
